% interestacl94.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword_1 String
@attribute nextword_1 String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag_1 String
@attribute nexttag_1 String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'an','especially','keen','in','board','matters','DT','RB','JJ','IN','NN','NNS','interest1'
'fed','toward','lower','rates','X','NULL','NP','IN','JJR','NNS','X','NULL','interest6'
'fed','has','let','rates','slip','slightly','NP','VBZ','VBN','NNS','VBP','RB','interest6'
'X','while','bronfman','hold','about','24','X','IN','NP','VBP','IN','AB','interest5'
'circumstances','X','freeXspeech','outweighed','the','Xinterests','NNS','X','NN','VBD','DT','NNS','interest4'
'Xinterests','outweighed','the','of','the','copyright','NNS','VBD','DT','IN','DT','NN','interest4'
'that','the','public','in','scholarship','could','IN','DT','JJ','IN','NN','MD','interest4'
'recognized','that','public','in','the','subject','VBN','IN','JJ','IN','DT','JJ','interest1'
'tailored','to','the','of','a','single','VBN','TO','DT','IN','DT','JJ','interest4'
'represents','a','dividend','in','hughes','earnings','VBZ','DT','NN','IN','NP','NNS','interest5'
'represents','a','dividend','in','eds','profit','VBZ','DT','NN','IN','NP','NN','interest5'
'full','payment','including','to','secured','creditors','JJ','NN','VBG','TO','VBN','NNS','interest6'
'full','credits','and','of','about','X','JJ','NNS','CC','IN','IN','X','interest6'
'in','payments','for','since','then','X','IN','NNS','IN','IN','RB','X','interest6'
'have','accrued','unpaid','equal','to','X','VB','VBN','JJ','JJ','TO','X','interest6'
'unsecured','creditors','X','accrued','since','the','JJ','NNS','POS','VBN','IN','DT','interest6'
'has','aroused','much','in','congress','X','VBZ','VBN','JJ','IN','NP','X','interest1'
'drew','plenty','of','from','uXsX','auto','VBD','RB','IN','IN','NP','NN','interest1'
'reluctance','to','cut','rates','to','pull','NN','TO','VB','NNS','TO','VB','interest6'
'fed','to','lower','rates','at','least','NP','TO','VB','NNS','IN','JJS','interest6'
'covers','taxes','X','and','penalties','owed','VBZ','NNS','X','CC','NNS','VBN','interest6'
'NULL','NULL','short','in','international','mobile','NULL','NULL','JJ','IN','NP','NP','interest5'
'X','X','short','in','otc','stocks','X','X','JJ','IN','NP','NNS','interest5'
'low','or','stable','rates','X','stocks','JJ','CC','JJ','NNS','X','NNS','interest6'
'starts','will','lose','from','the','day','VBP','MD','VB','IN','DT','NN','interest6'
'continue','to','earn','for','the','card','VB','TO','VB','IN','DT','NN','interest6'
'reflecting','lower','shortXterm','rates','X','X','VBG','JJR','JJ','NNS','X','X','interest6'
'been','posting','lower','rates','since','last','VBN','VBG','JJR','NNS','IN','JJ','interest6'
'X','when','shortXterm','rates','were','moving','X','WRB','JJ','NNS','VBD','VBG','interest6'
'bondXprice','changes','plus','X','has','amounted','JJ','NNS','CC','X','VBZ','VBN','interest6'
'jacked','up','its','income','X','NULL','VBN','IN','PPX','NN','X','NULL','interest6'
'X','with','great','X','since','the','X','IN','JJ','X','IN','DT','interest1'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','IN','VBP','interest6'
'X','suggesting','an','in','looking','for','X','VBG','DT','IN','VBG','IN','interest1'
'bad','debt','and','income','X','NULL','JJ','NN','CC','NN','X','NULL','interest6'
'also','would','defer','and','principal','on','RB','MD','VB','CC','NN','IN','interest6'
'Xs','annual','cash','bill','from','about','POS','JJ','NN','NN','IN','IN','interest6'
'to','pay','that','bill','X','analysts','TO','VB','DT','NN','X','NNS','interest6'
'for','ignoring','the','of','individual','and','IN','VBG','DT','IN','JJ','CC','interest4'
'will','not','pay','periodically','X','NULL','MD','RB','VB','RB','X','NULL','interest6'
'%','for','current','bonds','due','1990','NN','IN','JJ','NNS','JJ','AB','interest6'
'protection','program','current','bonds','are','due','NN','NN','JJ','NNS','VBP','JJ','interest6'
'recreation','program','current','bonds','are','due','NN','NN','JJ','NNS','VBP','JJ','interest6'
'its','50','%','in','national','steel','PPX','AB','NN','IN','NP','NP','interest5'
'a','manufacturer','with','in','aerospace','X','DT','NN','IN','IN','NN','X','interest5'
'absence','of','active','beyond','the','marketXmakers','NN','IN','JJ','IN','DT','NNS','interest1'
'and','by','family','X','a','spokeswoman','CC','IN','NN','X','DT','NN','interest5'
'in','the','best','of','the','investing','IN','DT','JJS','IN','DT','VBG','interest4'
'of','increases','in','expense','and','charges','IN','NNS','IN','NN','CC','NNS','interest6'
'payments','to','minority','X','NULL','NULL','NNS','TO','NN','X','NULL','NULL','interest5'
'sale','of','its','in','the','joint','NN','IN','PPX','IN','DT','JJ','interest5'
'remaining','25','%','in','aXtXbX','X','VBG','AB','NN','IN','NP','X','interest5'
'X','and','japanese','rates','X','though','X','CC','JJ','NNS','X','IN','interest6'
'X','expressions','of','X','in','bloomingdale','X','NNS','IN','X','IN','NP','interest1'
'charges','X','including','on','debt','securities','NNS','X','VBG','IN','NN','NNS','interest6'
'a','year','in','on','cashXdeferred','X','DT','NN','IN','IN','JJ','X','interest6'
'a','year','in','earned','on','the','DT','NN','IN','VBN','IN','DT','interest6'
'have','expressed','an','in','cutting','the','VBP','VBN','DT','IN','VBG','DT','interest1'
'NULL','the','average','rate','rose','to','NULL','DT','JJ','NN','VBD','TO','interest6'
'X','itt','has','in','electronic','parts','X','NP','VBZ','IN','JJ','NNS','interest5'
'43X75','%','working','X','and','other','AB','NN','VBG','X','CC','JJ','interest5'
'a','50','%','X','and','kuwait','DT','AB','NN','X','CC','NP','interest5'
'payments','to','minority','rose','to','749','NNS','TO','NN','VBD','TO','AB','interest5'
'highXrisk','bet','on','rates','backfired','X','JJ','NN','IN','NNS','VBD','X','interest6'
'reason','for','their','in','sears','declined','NN','IN','PPX','IN','NP','VBD','interest1'
'thus','forfeit','some','income','X','NULL','RB','VB','DT','NN','X','NULL','interest6'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'stand','for','consumer','X','small','government','VB','IN','NN','X','JJ','NN','interest4'
'irs','seeks','lateXpayment','because','of','the','NP','VBZ','NN','IN','IN','DT','interest6'
'you','should','request','abatement','X','publisher','PP','MD','VB','NN','X','NN','interest6'
'to','deduct','homeXmortgage','on','the','X','TO','VB','JJ','IN','DT','X','interest6'
'debt','X','and','on','it','is','NN','X','CC','IN','PP','VBZ','interest6'
'a','substantial','government','and','are','unconstitutional','DT','JJ','NN','CC','VBP','JJ','interest4'
'proliferation','of','special','magazines','X','NULL','NN','IN','JJ','NNS','X','NULL','interest3'
'target','the','idosyncratic','of','readers','X','VBP','DT','JJ','IN','NNS','X','interest3'
'the','level','of','in','the','rtc','DT','NN','IN','IN','DT','NP','interest1'
'has','a','minority','in','an','already','VBZ','DT','NN','IN','DT','RB','interest5'
'X','a','low','rate','X','and','X','DT','JJ','NN','X','CC','interest6'
'coverage','of','all','costs','while','the','NN','IN','DT','NNS','IN','DT','interest6'
'in','school','X','costs','would','either','IN','NN','X','NNS','MD','RB','interest6'
'a','commonality','of','among','black','X','DT','NN','IN','IN','JJ','X','interest3'
'for','the','narrow','of','one','group','IN','DT','JJ','IN','AB','NN','interest4'
'to','serve','the','of','all','his','TO','VB','DT','IN','PDT','PPX','interest4'
'X','have','common','and','can','live','X','VBP','JJ','CC','MD','VB','interest3'
'NULL','NULL','short','in','nasdaq','overXtheXcounter','NULL','NULL','JJ','IN','NP','JJ','interest5'
'recent','otc','short','statistics','were','compiled','JJ','NP','JJ','NNS','VBD','VBN','interest5'
'X','the','short','figures','reported','by','X','DT','JJ','NNS','VBN','IN','interest5'
'the','total','short','in','nasdaq','stocks','DT','JJ','JJ','IN','NP','NNS','interest5'
'in','otc','short','compares','with','the','IN','NP','JJ','VBZ','IN','DT','interest5'
'NULL','NULL','short','X','which','represents','NULL','NULL','JJ','X','WDT','VBZ','interest5'
'issues','X','short','rose','to','196X8','NNS','X','JJ','VBD','TO','AB','interest5'
'with','large','short','gains','as','of','IN','JJ','JJ','NNS','IN','IN','interest5'
'NULL','NULL','short','in','first','executive','NULL','NULL','JJ','IN','NP','NP','interest5'
'intel','Xs','short','jumped','42','%','NP','POS','JJ','VBD','AB','NN','interest5'
'the','biggest','short','position','on','nasdaq','DT','JJS','JJ','NN','IN','NP','interest5'
'changes','in','short','in','some','stocks','NNS','IN','JJ','IN','DT','NNS','interest5'
'saw','their','short','surge','X','NULL','VBD','PPX','JJ','NN','X','NULL','interest5'
'NULL','NULL','short','in','the','american','NULL','NULL','JJ','IN','DT','JJ','interest5'
'drop','in','short','included','adobe','systems','NN','IN','JJ','VBD','NP','NP','interest5'
'X','compiles','short','data','in','two','X','VBZ','JJ','NNS','IN','AB','interest5'
'NULL','NULL','short','in','1X327','nonXnms','NULL','NULL','JJ','IN','AB','JJ','interest5'
'the','october','short','represents','1X04','days','DT','NP','JJ','VBZ','AB','NNS','interest5'
'which','a','short','position','of','at','WDT','DT','JJ','NN','IN','IN','interest5'
'both','principal','and','X','while','unsecured','DT','NN','CC','X','IN','JJ','interest6'
'lower','inflation','and','rates','tend','to','JJR','NN','CC','NNS','VBP','TO','interest6'
'NULL','NULL','X','picks','up','X','NULL','NULL','X','VBZ','RP','X','interest1'
'consist','of','current','bonds','due','1990X2002','VBP','IN','JJ','NNS','JJ','AB','interest6'
'X','with','current','bonds','due','1990X2002','X','IN','JJ','NNS','JJ','AB','interest6'
'NULL','NULL','current','serial','bonds','are','NULL','NULL','JJ','NN','NNS','VBP','interest6'
'NULL','NULL','NULL','rates','generally','began','NULL','NULL','NULL','NNS','RB','VBD','interest6'
'follow','tXbills','and','rate','trends','in','VBP','NNS','CC','NN','NNS','IN','interest6'
'debt','and','reduce','costs','at','wang','NN','CC','VB','NNS','IN','NP','interest6'
'expected','to','ease','rates','before','next','VBN','TO','VB','NNS','IN','JJ','interest6'
'offset','by','higher','expense','and','by','VBN','IN','JJR','NN','CC','IN','interest6'
'combustion','Xs','minority','in','stein','industrie','NP','POS','NN','IN','NP','NP','interest5'
'attention','on','high','rates','and','corporate','NN','IN','JJ','NNS','CC','JJ','interest6'
'absence','of','institutional','later','in','the','NN','IN','JJ','RB','IN','DT','interest1'
'to','attract','some','X','but','the','TO','VB','DT','X','CC','DT','interest1'
'of','continental','european','in','british','life','IN','JJ','JJ','IN','JJ','NN','interest1'
'to','spark','investor','because','these','issues','TO','VB','NN','IN','DT','NNS','interest1'
'ibm','acquires','its','X','NULL','NULL','NP','VBZ','PPX','X','NULL','NULL','interest5'
'blamed','rising','australian','rates','and','the','VBD','VBG','JJ','NNS','CC','DT','interest6'
'coal','and','oil','might','be','for','NN','CC','NN','MD','VB','IN','interest5'
'of','the','oil','already','have','been','IN','DT','NN','RB','VBP','VBN','interest5'
'pay','its','cash','bill','X','and','VB','PPX','NN','NN','X','CC','interest6'
'X','plus','accrued','to','the','decX','X','CC','VBN','TO','DT','NP','interest6'
'reserve','to','cut','rates','amid','growing','NP','TO','VB','NNS','IN','VBG','interest6'
'supply','to','lower','rates','X','but','NN','TO','JJR','NNS','X','CC','interest6'
'NULL','NULL','X','by','japanese','investors','NULL','NULL','X','IN','JJ','NNS','interest1'
'remain','strong','and','rates','will','decline','VB','JJ','CC','NNS','MD','VB','interest6'
'to','drum','up','in','the','soXcalled','TO','VB','IN','IN','DT','JJ','interest1'
'advantage','of','falling','rates','X','NULL','NN','IN','VBG','NNS','X','NULL','interest6'
'with','a','true','cost','of','7X17','IN','DT','JJ','NN','IN','AB','interest6'
'corporations','X','but','and','principal','are','NNS','X','CC','CC','NN','VBP','interest6'
'NULL','NULL','short','increased','6','%','NULL','NULL','JJ','VBD','AB','NN','interest5'
'because','of','the','connected','with','the','IN','IN','DT','VBN','IN','DT','interest1'
'to','be','losing','in','giving','gm','TO','VB','VBG','IN','VBG','NP','interest1'
'the','company','Xs','in','acquiring','a','DT','NN','POS','IN','VBG','DT','interest1'
'NULL','gm','Xs','in','jaguar','reflects','NULL','NP','POS','IN','NP','VBZ','interest1'
'its','remaining','oneXthird','in','an','asbestos','PPX','VBG','JJ','IN','DT','NN','interest5'
'sold','the','majority','last','year','X','VBD','DT','NN','JJ','NN','X','interest5'
'bond','prices','as','rates','fall','X','NN','NNS','IN','NNS','VBP','X','interest6'
'decrease','faster','than','rates','will','fall','VB','RBR','IN','NNS','MD','VB','interest6'
'to','pursue','other','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'a','time','when','rates','came','down','DT','NN','WRB','NNS','VBD','IN','interest6'
'1984','X','and','rates','in','general','AB','X','CC','NNS','IN','JJ','interest6'
'that','principal','and','were','X','fully','IN','NN','CC','VBD','X','RB','interest6'
'pay','principal','and','accrued','to','the','VB','NN','CC','VBN','TO','DT','interest6'
'in','the','year','is','accrued','X','IN','DT','NN','VBZ','VBN','X','interest6'
'system','to','lower','rates','X','NULL','NP','TO','VB','NNS','X','NULL','interest6'
'complained','that','X','rates','are','too','VBD','IN','X','NNS','VBP','RB','interest6'
'that','would','return','rates','to','the','WDT','MD','VB','NNS','TO','DT','interest6'
'bellwether','federal','funds','rate','to','8','NN','JJ','NNS','NN','TO','AB','interest6'
'all','of','the','of','eagle','Xs','DT','IN','DT','IN','NP','POS','interest5'
'NULL','NULL','as','rates','paid','depositors','NULL','NULL','IN','NNS','VBD','NNS','interest6'
'for','taxes','and','expense','X','NULL','IN','NNS','CC','NN','X','NULL','interest6'
'as','earnings','before','X','taxes','X','IN','NNS','IN','X','NNS','X','interest6'
'cool','banks','X','in','financing','the','VB','NNS','POS','IN','VBG','DT','interest1'
'financing','fees','and','rates','X','while','NN','NNS','CC','NNS','X','IN','interest6'
'issue','includes','current','bonds','due','1991X2000','NN','VBZ','JJ','NNS','JJ','AB','interest6'
'NULL','the','current','serial','bonds','are','NULL','DT','JJ','NN','NNS','VBP','interest6'
'NULL','NULL','NULL','on','the','bonds','NULL','NULL','NULL','IN','DT','NNS','interest6'
'be','diverted','to','payments','X','NULL','VB','VBN','TO','NNS','X','NULL','interest6'
'team','whose','sole','and','responsibility','is','NN','WPX','JJ','CC','NN','VBZ','interest3'
'mixte','Xs','insurance','X','acquired','three','NP','POS','NN','X','VBN','AB','interest5'
'for','the','insurance','it','has','just','IN','DT','NN','PP','VBZ','RB','interest5'
'ikegai','corpX','Xs','in','ikegaiXgoss','X','NP','NP','POS','IN','NP','X','interest5'
'reserve','to','lower','rates','in','an','NP','TO','VB','NNS','IN','DT','interest6'
'nXt','shown','much','in','the','refcorp','RB','VBN','JJ','IN','DT','NP','interest1'
'act','in','the','of','the','minority','VB','IN','DT','IN','DT','NN','interest4'
'they','would','have','in','the','new','PP','MD','VB','IN','DT','JJ','interest5'
'note','would','accrue','at','the','rate','NN','MD','VB','IN','DT','NN','interest6'
'cash','on','immediate','payments','X','mrX','NN','IN','JJ','NNS','X','NP','interest6'
'filing','after','missing','payments','on','about','NN','IN','VBG','NNS','IN','RB','interest6'
'X','receiving','investor','for','its','land','X','VBG','NN','IN','PPX','NN','interest1'
'amid','hope','that','rates','have','peaked','IN','NN','IN','NNS','VBP','VBN','interest6'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'NULL','NULL','NULL','income','rose','29','NULL','NULL','NULL','NN','VBD','AB','interest6'
'NULL','NULL','annualized','rates','on','certain','NULL','NULL','JJ','NNS','IN','JJ','interest6'
'reflecting','the','newXfound','X','more','than','VBG','DT','JJ','X','JJR','IN','interest1'
'basis','of','current','rates','in','australia','NN','IN','JJ','NNS','IN','NP','interest6'
'X','high','australian','rates','X','a','X','JJ','JJ','NNS','X','DT','interest6'
'group','profit','before','X','tax','and','NN','NN','IN','X','NN','CC','interest6'
'executives','have','an','X','NULL','NULL','NNS','VBP','DT','X','NULL','NULL','interest5'
'buyers','have','shown','X','national','says','NNS','VBP','VBN','X','JJ','VBZ','interest1'
'thus','increasing','its','expense','and','reducing','RB','VBG','PPX','NN','CC','VBG','interest6'
'weight','of','hefty','payments','X','NULL','NN','IN','JJ','NNS','X','NULL','interest6'
'tardy','on','some','payments','and','to','JJ','IN','DT','NNS','CC','TO','interest6'
'investment','partnership','with','primarily','in','the','NN','NN','IN','RB','IN','DT','interest5'
'and','various','family','X','NULL','NULL','CC','JJ','NN','X','NULL','NULL','interest5'
'estate','has','excited','in','ag','X','NN','VBZ','VBN','IN','NP','X','interest1'
